split,model,mae,rmse,r2,n_test
0,RandomForest,3.2879664507201727,3.986337309402444,-1.2720470299428364,13
0,Ridge,2.79019946901524,3.3988534554535064,-0.6517111786535981,13
0,SVR,3.4139388068400596,4.170191287409072,-1.4864583063751682,13
0,GradientBoosting,3.0764117159556568,3.8274948641652258,-1.0945872775386545,13
0,HistGradientBoosting,3.286177825022707,3.9283242676918477,-1.2063981660838423,13
1,RandomForest,1.727839585177155,2.4050721051311394,0.2474096865199229,11
1,Ridge,2.193301278931461,2.5512773738998007,0.15312799476630012,11
1,SVR,2.0344826275205126,3.0011299943619374,-0.17185003269905907,11
1,GradientBoosting,1.7123363247974484,2.12067298464743,0.41487341629524055,11
1,HistGradientBoosting,1.934928885370738,2.4028459011720398,0.24880228021689033,11
2,RandomForest,3.136352255422941,3.7383537590775187,-0.8597037889240342,13
2,Ridge,2.5253697159590898,3.0494050236325494,-0.23740881786477774,13
2,SVR,3.6817458493366044,4.3751812522753655,-1.5472705963419298,13
2,GradientBoosting,2.85933396592453,3.475572896654014,-0.6074437608130392,13
2,HistGradientBoosting,3.1114639148960075,3.7443592586401673,-0.8656836516237592,13
3,RandomForest,2.4065295166255507,3.155829287190042,-0.38832981253024834,11
3,Ridge,2.3968880178651273,3.176584610471037,-0.4066514565498305,11
3,SVR,2.814887835417848,3.9702903434335,-1.1974053626158039,11
3,GradientBoosting,2.8082106447491437,3.384726022309734,-0.5970285711730206,11
3,HistGradientBoosting,2.764669158888873,3.6007640140241532,-0.8074028567369256,11
4,RandomForest,1.5927408879426712,2.3107816742755842,-0.2099347293751177,11
4,Ridge,2.2623808865641064,2.9046578159943897,-0.9117630718915608,11
4,SVR,1.4528912976605375,2.2011924037806514,-0.09789327305966067,11
4,GradientBoosting,1.7845312370841795,2.1765140715056974,-0.07341354666468058,11
4,HistGradientBoosting,1.771809349507401,2.2050892500409853,-0.10178399003409067,11
5,RandomForest,2.608217603244414,3.402973891290002,-0.641828096066644,13
5,Ridge,2.5325634070806937,3.2568651300820104,-0.5038689684286533,13
5,SVR,2.6486253243037345,3.485175310763711,-0.7221053137600011,13
5,GradientBoosting,2.8186000762654073,3.600194506706597,-0.8376482232838423,13
5,HistGradientBoosting,2.411364048976473,3.2910155837297994,-0.535572503127143,13
6,RandomForest,1.3915489866785054,2.045052470211951,0.13049657677608217,11
6,Ridge,1.431694303752177,1.7042664982022404,0.39613841937416194,11
6,SVR,1.4910674960285746,2.1356644460877896,0.05173783886546501,11
6,GradientBoosting,1.590242315435453,2.1040586518889004,0.07959690707695355,11
6,HistGradientBoosting,1.48278670028264,1.733418623972455,0.37530316969401767,11
7,RandomForest,2.9054684634833015,3.467367084801239,-0.24124468821871003,11
7,Ridge,3.083795670590384,3.612677548908043,-0.347460859862194,11
7,SVR,2.953632199073205,3.6270143251711606,-0.35817677706025086,11
7,GradientBoosting,2.725334859184625,3.2408549726842715,-0.08436864797837607,11
7,HistGradientBoosting,2.5942728143665916,3.354848418795692,-0.16199313778550373,11
8,RandomForest,4.6060176991150446,5.600922016385188,-2.4345169424676327,113
8,Ridge,4.521352302239716,5.750174584315164,-2.620000852791553,113
8,SVR,4.298350367457198,5.062429105926103,-1.8058504531452195,113
8,GradientBoosting,4.5847545851994465,5.687871441524802,-2.541980410909861,113
8,HistGradientBoosting,4.926621172806071,5.855779915126941,-2.754188740405777,113
9,RandomForest,2.541545564029515,3.3685459173851138,-0.3542797810613658,13
9,Ridge,2.2249694402727807,2.766355152115902,0.08664560743583705,13
9,SVR,2.734766008714706,3.5402986827592953,-0.4959023975790091,13
9,GradientBoosting,2.3506098114517067,3.0695272392229507,-0.12451805990399145,13
9,HistGradientBoosting,2.3485148735659607,2.811788529936174,0.05639819875238239,13
10,RandomForest,2.5060454857788543,2.98266094535868,-0.4625655218901086,11
10,Ridge,2.5080803732817993,3.1444804689901016,-0.6255688149498444,11
10,SVR,3.417042177270626,4.0991977728872975,-1.7625191686556327,11
10,GradientBoosting,2.281793255061846,2.620369300088938,-0.12884044501450997,11
10,HistGradientBoosting,2.5928776971980563,2.83766916123668,-0.3238265197074399,11
11,RandomForest,4.924159292035399,5.904115184021623,-3.3371967951591195,113
11,Ridge,6.705138394312109,8.500889954853335,-7.99141976967997,113
11,SVR,4.762157597705011,5.436148016471322,-2.676901802919753,113
11,GradientBoosting,4.99450716461249,6.005525248222673,-3.487469184723107,113
11,HistGradientBoosting,4.877639042112125,6.07471257357619,-3.5914615631675106,113
12,RandomForest,2.647901928998481,3.296297621105107,-0.49048919088201215,13
12,Ridge,2.2509847487699637,2.9902739773241858,-0.22658587633856553,13
12,SVR,2.732180306570202,3.5328780958092927,-0.7121164538429359,13
12,GradientBoosting,2.6054810555170866,3.2581475720869224,-0.45618817098442266,13
12,HistGradientBoosting,2.451131708696255,3.050208469195176,-0.27624790441391767,13
13,RandomForest,2.0175063230525496,2.736108563820394,0.04848624072020258,11
13,Ridge,1.6694374573160156,2.2789201587985266,0.33990469757187536,11
13,SVR,2.2186985672911743,2.9205933119144154,-0.0841530467704883,11
13,GradientBoosting,2.210310358582483,2.7941869970962805,0.007662607201918581,11
13,HistGradientBoosting,1.8275044651007912,2.231065300955809,0.3673361999657426,11
14,RandomForest,1.2143087280615044,2.079189342351436,0.1877539955231623,11
14,Ridge,2.3069008827084265,2.8510501029279367,-0.5272467226988404,11
14,SVR,1.2165746259951886,2.0726308629685666,0.1928701211339925,11
14,GradientBoosting,1.232477039080199,1.8627498266972622,0.3480585917078537,11
14,HistGradientBoosting,1.4336887067917496,2.0349270434348847,0.22196848334717456,11
15,RandomForest,3.207954485634088,3.7018695646184048,-0.4563488644845166,12
15,Ridge,3.1904775882944807,3.4436820824562786,-0.2602865424681766,12
15,SVR,3.3796434389370145,3.963654907084921,-0.6696093520546167,12
15,GradientBoosting,3.1046898959844618,3.559945183319275,-0.346820810321983,12
15,HistGradientBoosting,2.904573090238957,3.6125399817737573,-0.3869107728912231,12
16,RandomForest,2.229326926737976,2.9189465623190327,-0.08979929500482653,11
16,Ridge,1.8503381926218347,2.252471207685713,0.351047767953669,11
16,SVR,2.7867570426032118,3.6416657419452543,-0.6962677108910986,11
16,GradientBoosting,1.6753810662385378,2.351131665403931,0.2929532419916778,11
16,HistGradientBoosting,1.9814541704563517,2.419889953027751,0.2509937065998703,11
17,RandomForest,2.2104448995361277,2.7138106155750936,0.08881703995687518,11
17,Ridge,1.5570531074668004,2.02923995230344,0.4905362077024942,11
17,SVR,2.5904036353637703,3.3598230875723165,-0.3966234690734771,11
17,GradientBoosting,2.0007908023207914,2.3251848912553075,0.33109953149165994,11
17,HistGradientBoosting,2.2747896539194827,2.628717961322125,0.14506223666515006,11
