metric,model_a,model_b,wilcoxon_stat,p_raw,p_adjusted,significant
MAE,RandomForest,Ridge,178.0,0.271006,1.0,False
MAE,RandomForest,SVR,142.0,0.063556,0.635565,False
MAE,RandomForest,GradientBoosting,221.0,0.823577,1.0,False
MAE,RandomForest,HistGradientBoosting,140.0,0.057688,0.576879,False
MAE,Ridge,SVR,146.0,0.076721,0.767212,False
MAE,Ridge,GradientBoosting,178.0,0.271006,1.0,False
MAE,Ridge,HistGradientBoosting,229.0,0.951526,1.0,False
MAE,SVR,GradientBoosting,187.0,0.359878,1.0,False
MAE,SVR,HistGradientBoosting,97.0,0.004338,0.043382,False
MAE,GradientBoosting,HistGradientBoosting,158.0,0.129353,1.0,False
RMSE,RandomForest,Ridge,130.0,0.034537,0.345367,False
RMSE,RandomForest,SVR,92.0,0.002987,0.02987,False
RMSE,RandomForest,GradientBoosting,157.0,0.124134,1.0,False
RMSE,RandomForest,HistGradientBoosting,99.0,0.005013,0.050126,False
RMSE,Ridge,SVR,103.0,0.00664,0.066395,False
RMSE,Ridge,GradientBoosting,183.0,0.318396,1.0,False
RMSE,Ridge,HistGradientBoosting,209.0,0.640825,1.0,False
RMSE,SVR,GradientBoosting,104.0,0.007111,0.071115,False
RMSE,SVR,HistGradientBoosting,72.0,0.000555,0.005548,False
RMSE,GradientBoosting,HistGradientBoosting,164.0,0.164184,1.0,False
R2,RandomForest,Ridge,135.0,0.044907,0.449072,False
R2,RandomForest,SVR,98.0,0.004665,0.046648,False
R2,RandomForest,GradientBoosting,171.0,0.212933,1.0,False
R2,RandomForest,HistGradientBoosting,117.0,0.016431,0.164312,False
R2,Ridge,SVR,108.0,0.009301,0.093011,False
R2,Ridge,GradientBoosting,183.0,0.318396,1.0,False
R2,Ridge,HistGradientBoosting,208.0,0.626346,1.0,False
R2,SVR,GradientBoosting,113.0,0.012834,0.128337,False
R2,SVR,HistGradientBoosting,78.0,0.000952,0.009518,False
R2,GradientBoosting,HistGradientBoosting,166.0,0.177193,1.0,False
