model,metric,mean,std,ci_lower,ci_upper
RandomForest,MAE,2.5104,0.8778,2.1826,2.8382
RandomForest,RMSE,3.2037,0.9577,2.8461,3.5613
RandomForest,R2,-0.4699,0.7933,-0.7661,-0.1737
Ridge,MAE,2.4767,1.0488,2.0851,2.8684
Ridge,RMSE,3.1024,1.2857,2.6223,3.5825
Ridge,R2,-0.4911,1.5363,-1.0647,0.0826
SVR,MAE,2.621,0.8475,2.3045,2.9375
SVR,RMSE,3.4223,0.8275,3.1134,3.7313
SVR,R2,-0.661,0.6692,-0.9108,-0.4111
GradientBoosting,MAE,2.5123,0.872,2.1867,2.838
GradientBoosting,RMSE,3.13,1.022,2.7484,3.5116
GradientBoosting,R2,-0.4236,0.8576,-0.7439,-0.1034
HistGradientBoosting,MAE,2.4266,0.8954,2.0923,2.761
HistGradientBoosting,RMSE,3.0501,1.0471,2.6591,3.4411
HistGradientBoosting,R2,-0.3634,0.8948,-0.6975,-0.0293
