split,regime,model,mae,rmse,r2,n_test
0,RealOnly,RandomForest,3.2879664507201727,3.986337309402444,-1.2720470299428364,13
0,RealOnly,Ridge,2.79019946901524,3.3988534554535064,-0.6517111786535981,13
0,RealOnly,SVR,3.4139388068400596,4.170191287409072,-1.4864583063751682,13
0,RealOnly,GradientBoosting,3.0764117159556568,3.8274948641652258,-1.0945872775386545,13
0,RealOnly,HistGradientBoosting,3.286177825022707,3.9283242676918477,-1.2063981660838423,13
0,RealPlusSynth,RandomForest,3.221778561169721,3.9178939521088174,-1.1946970561548849,13
0,RealPlusSynth,Ridge,3.4725992088435245,4.112162877413486,-1.4177413846309723,13
0,RealPlusSynth,SVR,3.3421994486292053,4.01007365729373,-1.2991850546020882,13
0,RealPlusSynth,GradientBoosting,3.2328790762597843,3.8945304717699325,-1.1685999354035759,13
0,RealPlusSynth,HistGradientBoosting,3.416355865126557,4.267307746741379,-1.6036173464572157,13
0,SynthOnly,RandomForest,3.314979522175475,4.029311368198154,-1.3212979418101178,13
0,SynthOnly,Ridge,3.3815404291447626,3.9845957399513763,-1.2700622188085733,13
0,SynthOnly,SVR,3.3699424026535487,4.043129975527192,-1.337247123377412,13
0,SynthOnly,GradientBoosting,3.291970084173099,4.032630290999253,-1.3251235988126218,13
0,SynthOnly,HistGradientBoosting,3.308091515598147,4.029832329550928,-1.3218982353008992,13
1,RealOnly,RandomForest,1.727839585177155,2.4050721051311394,0.2474096865199229,11
1,RealOnly,Ridge,2.193301278931461,2.5512773738998007,0.15312799476630012,11
1,RealOnly,SVR,2.0344826275205126,3.0011299943619374,-0.17185003269905907,11
1,RealOnly,GradientBoosting,1.7123363247974484,2.12067298464743,0.41487341629524055,11
1,RealOnly,HistGradientBoosting,1.934928885370738,2.4028459011720398,0.24880228021689033,11
1,RealPlusSynth,RandomForest,1.6631945099592698,2.402592762121238,0.24896054876098872,11
1,RealPlusSynth,Ridge,1.6218247154585812,2.40796172278886,0.24560017347486895,11
1,RealPlusSynth,SVR,1.7665419278482724,2.5317566400351996,0.16603785612060085,11
1,RealPlusSynth,GradientBoosting,1.564714577911903,2.426713559450391,0.23380474983433686,11
1,RealPlusSynth,HistGradientBoosting,1.4778895058076478,2.077219024299902,0.43860698509190765,11
1,SynthOnly,RandomForest,1.7624302297885002,2.4835299627198335,0.19750704283549614,11
1,SynthOnly,Ridge,1.6406733140921455,2.4323229368483807,0.2302585170286381,11
1,SynthOnly,SVR,1.7481572941378432,2.508270271960172,0.18143893481602347,11
1,SynthOnly,GradientBoosting,1.7107254448516271,2.4471006613707553,0.220876882502555,11
1,SynthOnly,HistGradientBoosting,1.7014631355371967,2.414324658143805,0.24160796758552106,11
2,RealOnly,RandomForest,3.136352255422941,3.7383537590775187,-0.8597037889240342,13
2,RealOnly,Ridge,2.5253697159590898,3.0494050236325494,-0.23740881786477774,13
2,RealOnly,SVR,3.6817458493366044,4.3751812522753655,-1.5472705963419298,13
2,RealOnly,GradientBoosting,2.85933396592453,3.475572896654014,-0.6074437608130392,13
2,RealOnly,HistGradientBoosting,3.1114639148960075,3.7443592586401673,-0.8656836516237592,13
2,RealPlusSynth,RandomForest,3.0370590022213944,3.665694732855342,-0.7881155281792867,13
2,RealPlusSynth,Ridge,3.202361327645889,3.8433349342732845,-0.9656194940739518,13
2,RealPlusSynth,SVR,3.173978802633296,3.7876366460373925,-0.9090601104303235,13
2,RealPlusSynth,GradientBoosting,2.9630715380294155,3.5904372279785703,-0.715448404315906,13
2,RealPlusSynth,HistGradientBoosting,2.924172958518358,3.6769405121760386,-0.7991036760502008,13
2,SynthOnly,RandomForest,3.1766851679045875,3.7954282731757747,-0.916922524632225,13
2,SynthOnly,Ridge,3.1717759625799387,3.769946075577956,-0.8912688084703875,13
2,SynthOnly,SVR,3.2011655392036946,3.8263725322132545,-0.9483074186154778,13
2,SynthOnly,GradientBoosting,3.0509726638580092,3.6817158419507185,-0.8037797877221893,13
2,SynthOnly,HistGradientBoosting,3.046131030549719,3.6525229398349053,-0.7752882886593835,13
3,RealOnly,RandomForest,2.4065295166255507,3.155829287190042,-0.38832981253024834,11
3,RealOnly,Ridge,2.3968880178651273,3.176584610471037,-0.4066514565498305,11
3,RealOnly,SVR,2.814887835417848,3.9702903434335,-1.1974053626158039,11
3,RealOnly,GradientBoosting,2.8082106447491437,3.384726022309734,-0.5970285711730206,11
3,RealOnly,HistGradientBoosting,2.764669158888873,3.6007640140241532,-0.8074028567369256,11
3,RealPlusSynth,RandomForest,2.557958845637828,3.203071757190426,-0.43020727014634397,11
3,RealPlusSynth,Ridge,2.3062935443255483,3.1221580808448883,-0.35886221301381305,11
3,RealPlusSynth,SVR,2.2361504073256597,3.0634661501839897,-0.30825323416140193,11
3,RealPlusSynth,GradientBoosting,2.5818582061103172,3.3480316896388436,-0.5625890087257344,11
3,RealPlusSynth,HistGradientBoosting,2.4356135414923914,3.0663972835695428,-0.3107579128831832,11
3,SynthOnly,RandomForest,2.398584107836,3.1426032173542366,-0.37671722671514885,11
3,SynthOnly,Ridge,2.2828269178937264,3.0413132986405516,-0.2894008942845998,11
3,SynthOnly,SVR,2.234444327005455,3.0211468297707174,-0.27235795876851676,11
3,SynthOnly,GradientBoosting,2.2886193478106662,3.049912352992311,-0.2967025445543161,11
3,SynthOnly,HistGradientBoosting,2.375313074628174,3.0817564180744403,-0.3239215864763867,11
4,RealOnly,RandomForest,1.5927408879426712,2.3107816742755842,-0.2099347293751177,11
4,RealOnly,Ridge,2.2623808865641064,2.9046578159943897,-0.9117630718915608,11
4,RealOnly,SVR,1.4528912976605375,2.2011924037806514,-0.09789327305966067,11
4,RealOnly,GradientBoosting,1.7845312370841795,2.1765140715056974,-0.07341354666468058,11
4,RealOnly,HistGradientBoosting,1.771809349507401,2.2050892500409853,-0.10178399003409067,11
4,RealPlusSynth,RandomForest,1.47189647791669,2.0392068503265017,0.05774885020853482,11
4,RealPlusSynth,Ridge,1.316812691672983,2.076548851618803,0.022923836868382286,11
4,RealPlusSynth,SVR,1.281592888648942,2.024996986314728,0.07083492856810569,11
4,RealPlusSynth,GradientBoosting,1.329232133370147,1.822325423427392,0.24751823255945926,11
4,RealPlusSynth,HistGradientBoosting,1.5097094765430505,2.0087867640673713,0.0856514309315286,11
4,SynthOnly,RandomForest,1.2128830716545453,2.1076786963513756,-0.006590726467164076,11
4,SynthOnly,Ridge,1.2368900270986396,2.0257733917713745,0.07012228836727186,11
4,SynthOnly,SVR,1.207776111638893,1.9957066906819623,0.09752009621130553,11
4,SynthOnly,GradientBoosting,1.1478686251876924,2.0164433308795298,0.07866799905529498,11
4,SynthOnly,HistGradientBoosting,1.1213467704864275,1.9285178524962996,0.157264206001817,11
5,RealOnly,RandomForest,2.608217603244414,3.402973891290002,-0.641828096066644,13
5,RealOnly,Ridge,2.5325634070806937,3.2568651300820104,-0.5038689684286533,13
5,RealOnly,SVR,2.6486253243037345,3.485175310763711,-0.7221053137600011,13
5,RealOnly,GradientBoosting,2.8186000762654073,3.600194506706597,-0.8376482232838423,13
5,RealOnly,HistGradientBoosting,2.411364048976473,3.2910155837297994,-0.535572503127143,13
5,RealPlusSynth,RandomForest,2.526127076248316,3.2933209043078344,-0.5377245602423779,13
5,RealPlusSynth,Ridge,2.808232929121184,3.607389402769778,-0.8450005480230305,13
5,RealPlusSynth,SVR,2.5732433203834972,3.487241017141468,-0.7241473448541293,13
5,RealPlusSynth,GradientBoosting,2.381117999578543,3.160975190981364,-0.41661756938082584,13
5,RealPlusSynth,HistGradientBoosting,2.2793412257488654,2.8922576139569625,-0.18599919784240937,13
5,SynthOnly,RandomForest,2.5174784143954314,3.438365208570168,-0.67615607967154,13
5,SynthOnly,Ridge,2.8080081958693297,3.5381976647808457,-0.7749030359439988,13
5,SynthOnly,SVR,2.5757971715180705,3.5091519874372095,-0.7458816748220918,13
5,SynthOnly,GradientBoosting,2.4881171177757233,3.4023917501172773,-0.6412664144244737,13
5,SynthOnly,HistGradientBoosting,2.4449410954934034,3.3543929612344963,-0.5952851605588432,13
6,RealOnly,RandomForest,1.3915489866785054,2.045052470211951,0.13049657677608217,11
6,RealOnly,Ridge,1.431694303752177,1.7042664982022404,0.39613841937416194,11
6,RealOnly,SVR,1.4910674960285746,2.1356644460877896,0.05173783886546501,11
6,RealOnly,GradientBoosting,1.590242315435453,2.1040586518889004,0.07959690707695355,11
6,RealOnly,HistGradientBoosting,1.48278670028264,1.733418623972455,0.37530316969401767,11
6,RealPlusSynth,RandomForest,1.3538955342037597,1.9950035953437253,0.17253477526192218,11
6,RealPlusSynth,Ridge,1.432245931421548,2.207964366796525,-0.013553099742654506,11
6,RealPlusSynth,SVR,1.515075667319296,2.2369212248484343,-0.04031237887881067,11
6,RealPlusSynth,GradientBoosting,1.2797920448519229,1.9142182139979804,0.23819244696392472,11
6,RealPlusSynth,HistGradientBoosting,1.211990585054645,1.7576845401914052,0.35769063903406795,11
6,SynthOnly,RandomForest,1.429022429402273,2.259420327849774,-0.06134468447765373,11
6,SynthOnly,Ridge,1.4211361823645121,2.280277134038881,-0.0810297607740369,11
6,SynthOnly,SVR,1.5187662750511484,2.3197338569651693,-0.11876457942476071,11
6,SynthOnly,GradientBoosting,1.3461867762427138,2.1843658620340607,0.007996631399318832,11
6,SynthOnly,HistGradientBoosting,1.3673982697313039,2.1630058006630164,0.02730260251215688,11
7,RealOnly,RandomForest,2.9054684634833015,3.467367084801239,-0.24124468821871003,11
7,RealOnly,Ridge,3.083795670590384,3.612677548908043,-0.347460859862194,11
7,RealOnly,SVR,2.953632199073205,3.6270143251711606,-0.35817677706025086,11
7,RealOnly,GradientBoosting,2.725334859184625,3.2408549726842715,-0.08436864797837607,11
7,RealOnly,HistGradientBoosting,2.5942728143665916,3.354848418795692,-0.16199313778550373,11
7,RealPlusSynth,RandomForest,2.889094893491762,3.4907068605044267,-0.2580112292685095,11
7,RealPlusSynth,Ridge,2.863331498239592,3.4367354401534214,-0.2194105876778074,11
7,RealPlusSynth,SVR,2.6593774691557215,3.2317733213412336,-0.07829984203454488,11
7,RealPlusSynth,GradientBoosting,2.909211797794822,3.484138915190417,-0.253281656673767,11
7,RealPlusSynth,HistGradientBoosting,2.7164910555068076,3.410825370809141,-0.20109325505869724,11
7,SynthOnly,RandomForest,2.809611917453891,3.450710587099375,-0.22934797804290552,11
7,SynthOnly,Ridge,2.8398227173199846,3.4042471225184587,-0.19646477390119443,11
7,SynthOnly,SVR,2.6308978872802466,3.2032947029585124,-0.05937946368110025,11
7,SynthOnly,GradientBoosting,2.769264714069189,3.4029037299152636,-0.19552065631707904,11
7,SynthOnly,HistGradientBoosting,2.6895971832304735,3.312449091504663,-0.13280767665615878,11
8,RealOnly,RandomForest,4.6060176991150446,5.600922016385188,-2.4345169424676327,113
8,RealOnly,Ridge,4.521352302239716,5.750174584315164,-2.620000852791553,113
8,RealOnly,SVR,4.298350367457198,5.062429105926103,-1.8058504531452195,113
8,RealOnly,GradientBoosting,4.5847545851994465,5.687871441524802,-2.541980410909861,113
8,RealOnly,HistGradientBoosting,4.926621172806071,5.855779915126941,-2.754188740405777,113
8,RealPlusSynth,RandomForest,2.93323431882958,3.4789003261009213,-0.3250448646030175,113
8,RealPlusSynth,Ridge,3.120360766796982,3.7485267034981824,-0.5383948923406205,113
8,RealPlusSynth,SVR,2.3885687491950995,3.1388907028130486,-0.07869582719428037,113
8,RealPlusSynth,GradientBoosting,2.9302298767064516,3.4711437585625724,-0.3191428028518417,113
8,RealPlusSynth,HistGradientBoosting,3.129814331573226,3.683626229981128,-0.48558574997818216,113
8,SynthOnly,RandomForest,1.19518774297503,1.7418849141966057,0.6678107859004571,113
8,SynthOnly,Ridge,11.619060048649287,12.240967819305647,-15.405071356204981,113
8,SynthOnly,SVR,2.0370149174918843,3.0137500619770496,0.005600090807379887,113
8,SynthOnly,GradientBoosting,1.1601365280718685,1.6795995149345333,0.6911425422204676,113
8,SynthOnly,HistGradientBoosting,1.1461193417917324,1.6630730406650902,0.6971906658336811,113
9,RealOnly,RandomForest,2.541545564029515,3.3685459173851138,-0.3542797810613658,13
9,RealOnly,Ridge,2.2249694402727807,2.766355152115902,0.08664560743583705,13
9,RealOnly,SVR,2.734766008714706,3.5402986827592953,-0.4959023975790091,13
9,RealOnly,GradientBoosting,2.3506098114517067,3.0695272392229507,-0.12451805990399145,13
9,RealOnly,HistGradientBoosting,2.3485148735659607,2.811788529936174,0.05639819875238239,13
9,RealPlusSynth,RandomForest,2.556932265627211,3.3324446762920132,-0.32540726763590366,13
9,RealPlusSynth,Ridge,2.924583572267078,3.69239487937793,-0.6271954878166135,13
9,RealPlusSynth,SVR,2.793898622818886,3.5987429681947085,-0.5456996544781889,13
9,RealPlusSynth,GradientBoosting,2.4888580982879303,3.175249682540162,-0.20331467680343662,13
9,RealPlusSynth,HistGradientBoosting,2.279023485879397,2.910532191413437,-0.011039830999936218,13
9,SynthOnly,RandomForest,2.6380289931706162,3.452407443350686,-0.4225499994199464,13
9,SynthOnly,Ridge,2.67609639194609,3.4531360684427495,-0.4231505166055518,13
9,SynthOnly,SVR,2.715127787538182,3.5222881541709383,-0.48072093158981843,13
9,SynthOnly,GradientBoosting,2.5625715213570093,3.366360242144355,-0.35252290699254507,13
9,SynthOnly,HistGradientBoosting,2.5553735649770863,3.3445947574962975,-0.33508974684062176,13
10,RealOnly,RandomForest,2.5060454857788543,2.98266094535868,-0.4625655218901086,11
10,RealOnly,Ridge,2.5080803732817993,3.1444804689901016,-0.6255688149498444,11
10,RealOnly,SVR,3.417042177270626,4.0991977728872975,-1.7625191686556327,11
10,RealOnly,GradientBoosting,2.281793255061846,2.620369300088938,-0.12884044501450997,11
10,RealOnly,HistGradientBoosting,2.5928776971980563,2.83766916123668,-0.3238265197074399,11
10,RealPlusSynth,RandomForest,2.58097136565824,3.120689690585167,-0.6010641325215624,11
10,RealPlusSynth,Ridge,2.9042036030772858,3.514111903492126,-1.0301995637256405,11
10,RealPlusSynth,SVR,2.9728078535137423,3.5785109286285732,-1.1052915712282747,11
10,RealPlusSynth,GradientBoosting,2.609594221997146,3.14552592428959,-0.6266499105784284,11
10,RealPlusSynth,HistGradientBoosting,2.4952645387102668,2.915832184687034,-0.39775999570661447,11
10,SynthOnly,RandomForest,2.8976882992036717,3.573900514982316,-1.0998703149590954,11
10,SynthOnly,Ridge,2.842006679679479,3.4638888097966753,-0.9725837066342256,11
10,SynthOnly,SVR,2.986032762557856,3.614840536472813,-1.1482550605969752,11
10,SynthOnly,GradientBoosting,2.754278000031955,3.3954414584309323,-0.8953963945834522,11
10,SynthOnly,HistGradientBoosting,2.778855703768654,3.395239579686801,-0.8951710166033808,11
11,RealOnly,RandomForest,4.924159292035399,5.904115184021623,-3.3371967951591195,113
11,RealOnly,Ridge,6.705138394312109,8.500889954853335,-7.99141976967997,113
11,RealOnly,SVR,4.762157597705011,5.436148016471322,-2.676901802919753,113
11,RealOnly,GradientBoosting,4.99450716461249,6.005525248222673,-3.487469184723107,113
11,RealOnly,HistGradientBoosting,4.877639042112125,6.07471257357619,-3.5914615631675106,113
11,RealPlusSynth,RandomForest,3.2259365769842026,3.83747615420321,-0.8322758801467973,113
11,RealPlusSynth,Ridge,3.306028197262325,3.9307613738163063,-0.92244022258131,113
11,RealPlusSynth,SVR,3.0069851367606897,3.7173480068617732,-0.7193564637654981,113
11,RealPlusSynth,GradientBoosting,3.0920052025017624,3.554802486170859,-0.5722819745347294,113
11,RealPlusSynth,HistGradientBoosting,3.225794140595175,3.8258061341748566,-0.8211486797365817,113
11,SynthOnly,RandomForest,1.1066487223815553,1.582191147934487,0.688529165977217,113
11,SynthOnly,Ridge,11.81625737959687,12.410891030645235,-18.164849359156868,113
11,SynthOnly,SVR,1.8836597480974702,2.8570754015296975,-0.015647231744226886,113
11,SynthOnly,GradientBoosting,1.0738721770560777,1.5138614312587397,0.7148510779563593,113
11,SynthOnly,HistGradientBoosting,1.0542889705004173,1.4857102030196214,0.7253575297182344,113
12,RealOnly,RandomForest,2.647901928998481,3.296297621105107,-0.49048919088201215,13
12,RealOnly,Ridge,2.2509847487699637,2.9902739773241858,-0.22658587633856553,13
12,RealOnly,SVR,2.732180306570202,3.5328780958092927,-0.7121164538429359,13
12,RealOnly,GradientBoosting,2.6054810555170866,3.2581475720869224,-0.45618817098442266,13
12,RealOnly,HistGradientBoosting,2.451131708696255,3.050208469195176,-0.27624790441391767,13
12,RealPlusSynth,RandomForest,2.4663878071315306,3.245056478635662,-0.4445098797657978,13
12,RealPlusSynth,Ridge,2.653510478248816,3.4588866860981295,-0.6411514700715151,13
12,RealPlusSynth,SVR,2.642378685403519,3.4582167940725252,-0.6405158390601366,13
12,RealPlusSynth,GradientBoosting,2.425292056257802,3.0810223305926128,-0.30216401272089843,13
12,RealPlusSynth,HistGradientBoosting,2.097411144822816,2.605981604368728,0.06842314880674727,13
12,SynthOnly,RandomForest,2.593818474541141,3.3816766940976946,-0.5687009720090861,13
12,SynthOnly,Ridge,2.627990324020501,3.3892287631458715,-0.5757153424594683,13
12,SynthOnly,SVR,2.7151475761871424,3.5438574976306136,-0.7227747466182217,13
12,SynthOnly,GradientBoosting,2.523878600301379,3.3085999276451306,-0.5016354369521581,13
12,SynthOnly,HistGradientBoosting,2.535958445439106,3.3162583429106682,-0.5085951526625485,13
13,RealOnly,RandomForest,2.0175063230525496,2.736108563820394,0.04848624072020258,11
13,RealOnly,Ridge,1.6694374573160156,2.2789201587985266,0.33990469757187536,11
13,RealOnly,SVR,2.2186985672911743,2.9205933119144154,-0.0841530467704883,11
13,RealOnly,GradientBoosting,2.210310358582483,2.7941869970962805,0.007662607201918581,11
13,RealOnly,HistGradientBoosting,1.8275044651007912,2.231065300955809,0.3673361999657426,11
13,RealPlusSynth,RandomForest,2.0104232569694123,2.8059984627232466,-0.0007446555771342123,11
13,RealPlusSynth,Ridge,2.104000109610836,2.868994009112819,-0.04618311086486848,11
13,RealPlusSynth,SVR,1.9507607617680878,2.7064684845724925,0.06898994683184989,11
13,RealPlusSynth,GradientBoosting,1.8298695862811938,2.534277897674684,0.18368665968515518,11
13,RealPlusSynth,HistGradientBoosting,1.7293127428781474,2.493274940603539,0.20988780308568133,11
13,SynthOnly,RandomForest,2.153796255995712,2.971606008086461,-0.12235663271298503,11
13,SynthOnly,Ridge,2.177739036748085,2.8973109352301436,-0.06693664842847125,11
13,SynthOnly,SVR,1.9447905834479875,2.7127395252962825,0.0646705424530789,11
13,SynthOnly,GradientBoosting,2.0907691267554642,2.888184739919103,-0.06022577953791042,11
13,SynthOnly,HistGradientBoosting,2.0294927988972487,2.7995615152990805,0.003841485261359523,11
14,RealOnly,RandomForest,1.2143087280615044,2.079189342351436,0.1877539955231623,11
14,RealOnly,Ridge,2.3069008827084265,2.8510501029279367,-0.5272467226988404,11
14,RealOnly,SVR,1.2165746259951886,2.0726308629685666,0.1928701211339925,11
14,RealOnly,GradientBoosting,1.232477039080199,1.8627498266972622,0.3480585917078537,11
14,RealOnly,HistGradientBoosting,1.4336887067917496,2.0349270434348847,0.22196848334717456,11
14,RealPlusSynth,RandomForest,1.191369477023578,2.0050515671279476,0.2446458909815048,11
14,RealPlusSynth,Ridge,1.1639354409105225,1.9959708849843427,0.2514722474870703,11
14,RealPlusSynth,SVR,1.1793937952690188,1.967165194716965,0.2729217277950218,11
14,RealPlusSynth,GradientBoosting,1.049941767088997,1.6573268096713136,0.4839214431045177,11
14,RealPlusSynth,HistGradientBoosting,1.4434274819254855,2.1101011307724047,0.1634227629929742,11
14,SynthOnly,RandomForest,1.2604540566352416,2.1083660243278954,0.16479800869974226,11
14,SynthOnly,Ridge,1.1444523786254641,1.9620650753098308,0.27668692153754804,11
