metric,model,regime_a,regime_b,wilcoxon_stat,p_raw,p_adjusted,significant
MAE,RandomForest,RealOnly,RealPlusSynth,56.0,0.000111,0.000332,True
MAE,RandomForest,RealOnly,SynthOnly,183.0,0.318396,0.955188,False
MAE,RandomForest,RealPlusSynth,SynthOnly,150.0,0.09195,0.275849,False
MAE,Ridge,RealOnly,RealPlusSynth,209.0,0.640825,1.0,False
MAE,Ridge,RealOnly,SynthOnly,130.0,0.034537,0.10361,False
MAE,Ridge,RealPlusSynth,SynthOnly,226.0,0.903226,1.0,False
MAE,SVR,RealOnly,RealPlusSynth,29.0,3e-06,1e-05,True
MAE,SVR,RealOnly,SynthOnly,44.0,2.7e-05,8.1e-05,True
MAE,SVR,RealPlusSynth,SynthOnly,190.0,0.39305,1.0,False
MAE,GradientBoosting,RealOnly,RealPlusSynth,78.0,0.000952,0.002855,True
MAE,GradientBoosting,RealOnly,SynthOnly,120.0,0.019661,0.058982,False
MAE,GradientBoosting,RealPlusSynth,SynthOnly,166.0,0.177193,0.531578,False
MAE,HistGradientBoosting,RealOnly,RealPlusSynth,24.0,1e-06,4e-06,True
MAE,HistGradientBoosting,RealOnly,SynthOnly,189.0,0.381798,1.0,False
MAE,HistGradientBoosting,RealPlusSynth,SynthOnly,136.0,0.047259,0.141777,False
RMSE,RandomForest,RealOnly,RealPlusSynth,61.0,0.000189,0.000566,True
RMSE,RandomForest,RealOnly,SynthOnly,196.0,0.464545,1.0,False
RMSE,RandomForest,RealPlusSynth,SynthOnly,91.0,0.002766,0.008299,True
RMSE,Ridge,RealOnly,RealPlusSynth,157.0,0.124134,0.372403,False
RMSE,Ridge,RealOnly,SynthOnly,76.0,0.000798,0.002394,True
RMSE,Ridge,RealPlusSynth,SynthOnly,179.0,0.280087,0.84026,False
RMSE,SVR,RealOnly,RealPlusSynth,17.0,0.0,1e-06,True
RMSE,SVR,RealOnly,SynthOnly,35.0,8e-06,2.4e-05,True
RMSE,SVR,RealPlusSynth,SynthOnly,125.0,0.026229,0.078687,False
RMSE,GradientBoosting,RealOnly,RealPlusSynth,118.0,0.017454,0.052361,False
RMSE,GradientBoosting,RealOnly,SynthOnly,217.0,0.761065,1.0,False
RMSE,GradientBoosting,RealPlusSynth,SynthOnly,119.0,0.018529,0.055588,False
RMSE,HistGradientBoosting,RealOnly,RealPlusSynth,72.0,0.000555,0.001664,True
RMSE,HistGradientBoosting,RealOnly,SynthOnly,215.0,0.730342,1.0,False
RMSE,HistGradientBoosting,RealPlusSynth,SynthOnly,134.0,0.042652,0.127955,False
R2,RandomForest,RealOnly,RealPlusSynth,59.0,0.000153,0.000459,True
R2,RandomForest,RealOnly,SynthOnly,196.0,0.464545,1.0,False
R2,RandomForest,RealPlusSynth,SynthOnly,92.0,0.002987,0.008961,True
R2,Ridge,RealOnly,RealPlusSynth,162.0,0.151887,0.455661,False
R2,Ridge,RealOnly,SynthOnly,77.0,0.000872,0.002615,True
R2,Ridge,RealPlusSynth,SynthOnly,178.0,0.271006,0.813017,False
R2,SVR,RealOnly,RealPlusSynth,18.0,0.0,1e-06,True
R2,SVR,RealOnly,SynthOnly,37.0,1.1e-05,3.2e-05,True
R2,SVR,RealPlusSynth,SynthOnly,122.0,0.022099,0.066297,False
R2,GradientBoosting,RealOnly,RealPlusSynth,115.0,0.014538,0.043614,False
R2,GradientBoosting,RealOnly,SynthOnly,213.0,0.700033,1.0,False
R2,GradientBoosting,RealPlusSynth,SynthOnly,119.0,0.018529,0.055588,False
R2,HistGradientBoosting,RealOnly,RealPlusSynth,73.0,0.000608,0.001825,True
R2,HistGradientBoosting,RealOnly,SynthOnly,222.0,0.839393,1.0,False
R2,HistGradientBoosting,RealPlusSynth,SynthOnly,140.0,0.057688,0.173064,False
