regime,model,metric,mean,std,ci_lower,ci_upper
RealOnly,RandomForest,MAE,2.5104,0.8778,2.1826,2.8382
RealOnly,RandomForest,RMSE,3.2037,0.9577,2.8461,3.5613
RealOnly,RandomForest,R2,-0.4699,0.7933,-0.7661,-0.1737
RealOnly,Ridge,MAE,2.4767,1.0488,2.0851,2.8684
RealOnly,Ridge,RMSE,3.1024,1.2857,2.6223,3.5825
RealOnly,Ridge,R2,-0.4911,1.5363,-1.0647,0.0826
RealOnly,SVR,MAE,2.621,0.8475,2.3045,2.9375
RealOnly,SVR,RMSE,3.4223,0.8275,3.1134,3.7313
RealOnly,SVR,R2,-0.661,0.6692,-0.9108,-0.4111
RealOnly,GradientBoosting,MAE,2.5123,0.872,2.1867,2.838
RealOnly,GradientBoosting,RMSE,3.13,1.022,2.7484,3.5116
RealOnly,GradientBoosting,R2,-0.4236,0.8576,-0.7439,-0.1034
RealOnly,HistGradientBoosting,MAE,2.4266,0.8954,2.0923,2.761
RealOnly,HistGradientBoosting,RMSE,3.0501,1.0471,2.6591,3.4411
RealOnly,HistGradientBoosting,R2,-0.3634,0.8948,-0.6975,-0.0293
RealPlusSynth,RandomForest,MAE,2.2612,0.5621,2.0513,2.4711
RealPlusSynth,RandomForest,RMSE,2.893,0.5583,2.6845,3.1015
RealPlusSynth,RandomForest,R2,-0.1767,0.3598,-0.311,-0.0424
RealPlusSynth,Ridge,MAE,2.3858,0.6411,2.1464,2.6251
RealPlusSynth,Ridge,RMSE,3.1023,0.6026,2.8773,3.3273
RealPlusSynth,Ridge,R2,-0.3508,0.4044,-0.5018,-0.1998
RealPlusSynth,SVR,MAE,2.2757,0.5758,2.0607,2.4907
RealPlusSynth,SVR,RMSE,2.9992,0.5584,2.7907,3.2077
RealPlusSynth,SVR,R2,-0.2691,0.3962,-0.417,-0.1211
RealPlusSynth,GradientBoosting,MAE,2.1477,0.5956,1.9253,2.3701
RealPlusSynth,GradientBoosting,RMSE,2.7732,0.594,2.5514,2.9951
RealPlusSynth,GradientBoosting,R2,-0.0878,0.3818,-0.2304,0.0548
RealPlusSynth,HistGradientBoosting,MAE,2.0861,0.6243,1.8529,2.3192
RealPlusSynth,HistGradientBoosting,RMSE,2.6995,0.6447,2.4587,2.9402
RealPlusSynth,HistGradientBoosting,R2,-0.0423,0.4467,-0.2092,0.1245
SynthOnly,RandomForest,MAE,2.1668,0.6312,1.9312,2.4025
SynthOnly,RandomForest,RMSE,2.8799,0.6356,2.6425,3.1172
SynthOnly,RandomForest,R2,-0.2062,0.4587,-0.3774,-0.0349
SynthOnly,Ridge,MAE,3.2259,2.9097,2.1394,4.3124
SynthOnly,Ridge,RMSE,3.9232,2.8779,2.8486,4.9978
SynthOnly,Ridge,R2,-1.8325,4.7467,-3.6049,-0.0601
SynthOnly,SVR,MAE,2.2371,0.5696,2.0244,2.4498
SynthOnly,SVR,RMSE,2.9997,0.5385,2.7986,3.2007
SynthOnly,SVR,R2,-0.2706,0.3938,-0.4176,-0.1235
SynthOnly,GradientBoosting,MAE,2.0742,0.6114,1.8459,2.3025
SynthOnly,GradientBoosting,RMSE,2.777,0.624,2.544,3.01
SynthOnly,GradientBoosting,R2,-0.1231,0.4425,-0.2884,0.0421
SynthOnly,HistGradientBoosting,MAE,2.0681,0.6081,1.841,2.2952
SynthOnly,HistGradientBoosting,RMSE,2.7448,0.6222,2.5125,2.9772
SynthOnly,HistGradientBoosting,R2,-0.0996,0.4444,-0.2655,0.0663
