split,group,n_features,mae,rmse,r2,n_test
0,G1_AnthroMetabolic,63,3.358861508191204,3.9941217184809736,-1.2809292749957684,13
0,G2_+Bioimpedance,73,3.5295653872994177,4.242758480514165,-1.5737469708559662,13
0,G3_+PosturalRisk,83,3.237514416219222,3.8891008919427517,-1.1625574207808582,13
0,G4_+JointAngles,88,3.286177825022707,3.9283242676918477,-1.2063981660838423,13
1,G1_AnthroMetabolic,63,1.643477430431625,1.945821018959749,0.5073843527130191,11
1,G2_+Bioimpedance,73,1.7003410939269956,1.995711062882579,0.48179959115275095,11
1,G3_+PosturalRisk,83,1.811982374066418,2.283182705132805,0.32175944616438257,11
1,G4_+JointAngles,88,1.934928885370738,2.4028459011720398,0.24880228021689033,11
2,G1_AnthroMetabolic,63,3.213049097056493,3.8675407071967682,-0.9904568658175352,13
2,G2_+Bioimpedance,73,3.232057587590452,3.8559162784915952,-0.9785096603137515,13
2,G3_+PosturalRisk,83,3.207424815763673,3.8638690830781646,-0.9866794056750183,13
2,G4_+JointAngles,88,3.1114639148960075,3.7443592586401673,-0.8656836516237592,13
3,G1_AnthroMetabolic,63,2.6532998186047574,3.5294532256337527,-0.7365228671708717,11
3,G2_+Bioimpedance,73,2.636960685236978,3.4998888802303227,-0.7075528606556953,11
3,G3_+PosturalRisk,83,2.712715088045572,3.597584957343978,-0.8042128117076368,11
3,G4_+JointAngles,88,2.764669158888873,3.6007640140241532,-0.8074028567369256,11
4,G1_AnthroMetabolic,63,1.715396453350742,2.285091816803787,-0.18318164411621618,11
4,G2_+Bioimpedance,73,1.9433769139298795,2.5359675594414006,-0.45724139881505677,11
4,G3_+PosturalRisk,83,1.8087486847272418,2.320093801661336,-0.2197061143621526,11
4,G4_+JointAngles,88,1.771809349507401,2.2050892500409853,-0.10178399003409067,11
5,G1_AnthroMetabolic,63,2.5517947159197556,3.421529610233299,-0.6597820164898038,13
5,G2_+Bioimpedance,73,2.4440068031605438,3.335155624897015,-0.577039810524909,13
5,G3_+PosturalRisk,83,2.338850641204493,3.149143453964703,-0.40603243240489695,13
5,G4_+JointAngles,88,2.411364048976473,3.2910155837297994,-0.535572503127143,13
6,G1_AnthroMetabolic,63,1.5540978510785677,1.8740227537853122,0.269849974078496,11
6,G2_+Bioimpedance,73,1.340815058332299,1.7007317924587402,0.39864068004214737,11
6,G3_+PosturalRisk,83,1.501610914286173,1.8222091735075707,0.309666668532934,11
6,G4_+JointAngles,88,1.48278670028264,1.733418623972455,0.37530316969401767,11
7,G1_AnthroMetabolic,63,2.247916346313468,2.9983353608819305,0.07184999377635481,11
7,G2_+Bioimpedance,73,2.5541849506950793,3.3215013470791166,-0.13900760668639478,11
7,G3_+PosturalRisk,83,2.602400062830705,3.439492840851358,-0.22136811542184032,11
7,G4_+JointAngles,88,2.5942728143665916,3.354848418795692,-0.16199313778550373,11
8,G1_AnthroMetabolic,63,4.888801542291323,5.813016669663163,-2.699557213546703,113
8,G2_+Bioimpedance,73,4.87263876908706,5.811753953648446,-2.697950136522581,113
8,G3_+PosturalRisk,83,4.926621172806071,5.855779915126941,-2.754188740405777,113
8,G4_+JointAngles,88,4.926621172806071,5.855779915126941,-2.754188740405777,113
9,G1_AnthroMetabolic,63,2.2392738419855975,2.7607837954123227,0.0903208397691353,13
9,G2_+Bioimpedance,73,2.335967474981091,2.804556707756093,0.06124577876671722,13
9,G3_+PosturalRisk,83,2.4120798759105546,2.8879663920895178,0.004576885571529354,13
9,G4_+JointAngles,88,2.3485148735659607,2.811788529936174,0.05639819875238239,13
10,G1_AnthroMetabolic,63,2.584392538249354,2.9653605234303906,-0.44564799878293804,11
10,G2_+Bioimpedance,73,2.542043880482534,2.7568369905989814,-0.2494812137512452,11
10,G3_+PosturalRisk,83,2.480895739863737,2.7138525565339013,-0.21082130371097363,11
10,G4_+JointAngles,88,2.5928776971980563,2.83766916123668,-0.3238265197074399,11
11,G1_AnthroMetabolic,63,4.692210203319391,5.762213071053099,-3.1312179877593556,113
11,G2_+Bioimpedance,73,4.868716237244781,6.054649411650399,-3.5611828913720007,113
11,G3_+PosturalRisk,83,4.877639042112125,6.07471257357619,-3.5914615631675106,113
11,G4_+JointAngles,88,4.877639042112125,6.07471257357619,-3.5914615631675106,113
12,G1_AnthroMetabolic,63,2.3321157633056453,2.940510079499842,-0.18610009754154921,13
12,G2_+Bioimpedance,73,2.4122826558638284,2.9805618778668195,-0.2186311681956281,13
12,G3_+PosturalRisk,83,2.5412412525849906,3.129050086592556,-0.34307735479255297,13
12,G4_+JointAngles,88,2.451131708696255,3.050208469195176,-0.27624790441391767,13
13,G1_AnthroMetabolic,63,1.7352041231835167,2.1583718947965562,0.40789193530885637,11
13,G2_+Bioimpedance,73,2.1243948428958634,2.584598005895887,0.1509477215317223,11
13,G3_+PosturalRisk,83,1.7803933288620108,2.2784738683636827,0.34016321068618083,11
