metric,group_a,group_b,wilcoxon_stat,p_raw,p_adjusted,significant
MAE,G1_AnthroMetabolic,G2_+Bioimpedance,178.0,0.271006,1.0,False
MAE,G1_AnthroMetabolic,G3_+PosturalRisk,172.0,0.220647,1.0,False
MAE,G1_AnthroMetabolic,G4_+JointAngles,171.0,0.212933,1.0,False
MAE,G2_+Bioimpedance,G3_+PosturalRisk,204.0,0.569858,1.0,False
MAE,G2_+Bioimpedance,G4_+JointAngles,193.0,0.427955,1.0,False
MAE,G3_+PosturalRisk,G4_+JointAngles,164.0,0.54809,1.0,False
RMSE,G1_AnthroMetabolic,G2_+Bioimpedance,163.0,0.157948,0.947686,False
RMSE,G1_AnthroMetabolic,G3_+PosturalRisk,150.0,0.09195,0.551698,False
RMSE,G1_AnthroMetabolic,G4_+JointAngles,186.0,0.349211,1.0,False
RMSE,G2_+Bioimpedance,G3_+PosturalRisk,195.0,0.452164,1.0,False
RMSE,G2_+Bioimpedance,G4_+JointAngles,208.0,0.626346,1.0,False
RMSE,G3_+PosturalRisk,G4_+JointAngles,170.0,0.648048,1.0,False
R2,G1_AnthroMetabolic,G2_+Bioimpedance,162.0,0.151887,0.911322,False
R2,G1_AnthroMetabolic,G3_+PosturalRisk,161.0,0.145999,0.875997,False
R2,G1_AnthroMetabolic,G4_+JointAngles,204.0,0.569858,1.0,False
R2,G2_+Bioimpedance,G3_+PosturalRisk,195.0,0.452164,1.0,False
R2,G2_+Bioimpedance,G4_+JointAngles,211.0,0.670181,1.0,False
R2,G3_+PosturalRisk,G4_+JointAngles,167.0,0.597118,1.0,False
